round,accuracy,method
0,10.05,fedavg_baseline
1,66.89,fedavg_baseline
2,77.85,fedavg_baseline
3,80.54,fedavg_baseline
4,82.5,fedavg_baseline
5,82.93,fedavg_baseline
6,84.35,fedavg_baseline
7,84.78,fedavg_baseline
8,85.11,fedavg_baseline
9,85.71,fedavg_baseline
10,86.2,fedavg_baseline
11,86.35,fedavg_baseline
12,86.37,fedavg_baseline
13,86.81,fedavg_baseline
14,86.93,fedavg_baseline
15,86.66,fedavg_baseline
16,87.08,fedavg_baseline
17,87.22,fedavg_baseline
18,87.01,fedavg_baseline
19,87.51,fedavg_baseline
20,87.32,fedavg_baseline
21,87.51,fedavg_baseline
22,87.3,fedavg_baseline
23,87.2,fedavg_baseline
24,87.49,fedavg_baseline
25,87.6,fedavg_baseline
26,87.36,fedavg_baseline
27,87.65,fedavg_baseline
28,87.62,fedavg_baseline
29,87.52,fedavg_baseline
30,87.24,fedavg_baseline
31,87.57,fedavg_baseline
32,87.38,fedavg_baseline
33,87.52,fedavg_baseline
34,87.63,fedavg_baseline
35,87.46,fedavg_baseline
36,87.41,fedavg_baseline
37,87.19,fedavg_baseline
38,87.49,fedavg_baseline
39,87.67,fedavg_baseline
40,87.38,fedavg_baseline
