round,accuracy,method
0,9.43,fedpekd_gmm_v1
1,10.0,fedpekd_gmm_v1
2,10.14,fedpekd_gmm_v1
3,31.97,fedpekd_gmm_v1
4,44.75,fedpekd_gmm_v1
5,47.69,fedpekd_gmm_v1
6,50.4,fedpekd_gmm_v1
7,54.21,fedpekd_gmm_v1
8,51.0,fedpekd_gmm_v1
9,53.06,fedpekd_gmm_v1
10,56.62,fedpekd_gmm_v1
11,55.57,fedpekd_gmm_v1
12,55.82,fedpekd_gmm_v1
13,55.73,fedpekd_gmm_v1
14,56.02,fedpekd_gmm_v1
15,55.4,fedpekd_gmm_v1
16,55.64,fedpekd_gmm_v1
17,52.67,fedpekd_gmm_v1
18,55.19,fedpekd_gmm_v1
19,51.68,fedpekd_gmm_v1
20,51.91,fedpekd_gmm_v1
21,49.86,fedpekd_gmm_v1
22,52.87,fedpekd_gmm_v1
23,52.2,fedpekd_gmm_v1
24,54.72,fedpekd_gmm_v1
25,52.25,fedpekd_gmm_v1
26,53.66,fedpekd_gmm_v1
27,55.65,fedpekd_gmm_v1
28,53.91,fedpekd_gmm_v1
29,51.84,fedpekd_gmm_v1
30,51.59,fedpekd_gmm_v1
31,50.7,fedpekd_gmm_v1
32,51.17,fedpekd_gmm_v1
33,51.65,fedpekd_gmm_v1
34,53.48,fedpekd_gmm_v1
35,54.46,fedpekd_gmm_v1
36,48.4,fedpekd_gmm_v1
37,52.22,fedpekd_gmm_v1
38,52.5,fedpekd_gmm_v1
39,53.86,fedpekd_gmm_v1
40,54.8,fedpekd_gmm_v1
41,55.0,fedpekd_gmm_v1
42,51.31,fedpekd_gmm_v1
43,53.2,fedpekd_gmm_v1
44,54.8,fedpekd_gmm_v1
45,55.37,fedpekd_gmm_v1
46,55.24,fedpekd_gmm_v1
47,54.35,fedpekd_gmm_v1
48,54.28,fedpekd_gmm_v1
49,53.25,fedpekd_gmm_v1
50,53.38,fedpekd_gmm_v1
