round,accuracy,method
0,9.43,fedpekd_gmm_v2_softlogits
1,16.59,fedpekd_gmm_v2_softlogits
2,27.92,fedpekd_gmm_v2_softlogits
3,34.19,fedpekd_gmm_v2_softlogits
4,35.56,fedpekd_gmm_v2_softlogits
5,34.18,fedpekd_gmm_v2_softlogits
6,34.99,fedpekd_gmm_v2_softlogits
7,35.96,fedpekd_gmm_v2_softlogits
8,36.0,fedpekd_gmm_v2_softlogits
9,36.63,fedpekd_gmm_v2_softlogits
10,36.34,fedpekd_gmm_v2_softlogits
11,37.95,fedpekd_gmm_v2_softlogits
12,40.43,fedpekd_gmm_v2_softlogits
13,40.53,fedpekd_gmm_v2_softlogits
14,44.28,fedpekd_gmm_v2_softlogits
15,40.99,fedpekd_gmm_v2_softlogits
16,42.28,fedpekd_gmm_v2_softlogits
17,41.79,fedpekd_gmm_v2_softlogits
18,43.27,fedpekd_gmm_v2_softlogits
19,42.08,fedpekd_gmm_v2_softlogits
20,41.47,fedpekd_gmm_v2_softlogits
21,40.53,fedpekd_gmm_v2_softlogits
22,39.92,fedpekd_gmm_v2_softlogits
23,39.9,fedpekd_gmm_v2_softlogits
24,37.86,fedpekd_gmm_v2_softlogits
25,39.68,fedpekd_gmm_v2_softlogits
26,37.29,fedpekd_gmm_v2_softlogits
27,39.24,fedpekd_gmm_v2_softlogits
28,36.73,fedpekd_gmm_v2_softlogits
29,37.38,fedpekd_gmm_v2_softlogits
30,33.33,fedpekd_gmm_v2_softlogits
31,30.9,fedpekd_gmm_v2_softlogits
32,33.3,fedpekd_gmm_v2_softlogits
33,29.89,fedpekd_gmm_v2_softlogits
34,37.55,fedpekd_gmm_v2_softlogits
35,30.88,fedpekd_gmm_v2_softlogits
36,35.47,fedpekd_gmm_v2_softlogits
37,27.26,fedpekd_gmm_v2_softlogits
38,31.94,fedpekd_gmm_v2_softlogits
39,29.99,fedpekd_gmm_v2_softlogits
40,30.12,fedpekd_gmm_v2_softlogits
41,34.28,fedpekd_gmm_v2_softlogits
42,31.65,fedpekd_gmm_v2_softlogits
43,34.19,fedpekd_gmm_v2_softlogits
44,32.34,fedpekd_gmm_v2_softlogits
45,31.5,fedpekd_gmm_v2_softlogits
46,30.78,fedpekd_gmm_v2_softlogits
47,32.39,fedpekd_gmm_v2_softlogits
48,30.15,fedpekd_gmm_v2_softlogits
49,30.35,fedpekd_gmm_v2_softlogits
50,32.71,fedpekd_gmm_v2_softlogits
