round,accuracy,method
0,9.43,fedpekd_protogmm_v2_robust
1,47.34,fedpekd_protogmm_v2_robust
2,65.02,fedpekd_protogmm_v2_robust
3,66.94,fedpekd_protogmm_v2_robust
4,69.3,fedpekd_protogmm_v2_robust
5,68.45,fedpekd_protogmm_v2_robust
6,67.93,fedpekd_protogmm_v2_robust
7,66.29,fedpekd_protogmm_v2_robust
8,64.54,fedpekd_protogmm_v2_robust
9,63.96,fedpekd_protogmm_v2_robust
10,67.62,fedpekd_protogmm_v2_robust
11,64.86,fedpekd_protogmm_v2_robust
12,66.44,fedpekd_protogmm_v2_robust
13,64.87,fedpekd_protogmm_v2_robust
14,63.49,fedpekd_protogmm_v2_robust
15,61.96,fedpekd_protogmm_v2_robust
16,58.59,fedpekd_protogmm_v2_robust
17,54.82,fedpekd_protogmm_v2_robust
18,54.64,fedpekd_protogmm_v2_robust
19,52.76,fedpekd_protogmm_v2_robust
20,54.57,fedpekd_protogmm_v2_robust
21,55.85,fedpekd_protogmm_v2_robust
22,54.74,fedpekd_protogmm_v2_robust
23,56.09,fedpekd_protogmm_v2_robust
24,56.2,fedpekd_protogmm_v2_robust
25,57.45,fedpekd_protogmm_v2_robust
26,52.53,fedpekd_protogmm_v2_robust
27,53.77,fedpekd_protogmm_v2_robust
28,53.4,fedpekd_protogmm_v2_robust
29,54.63,fedpekd_protogmm_v2_robust
30,53.71,fedpekd_protogmm_v2_robust
31,53.05,fedpekd_protogmm_v2_robust
32,53.8,fedpekd_protogmm_v2_robust
33,51.13,fedpekd_protogmm_v2_robust
34,50.56,fedpekd_protogmm_v2_robust
35,48.5,fedpekd_protogmm_v2_robust
36,46.1,fedpekd_protogmm_v2_robust
37,41.36,fedpekd_protogmm_v2_robust
38,45.05,fedpekd_protogmm_v2_robust
39,39.56,fedpekd_protogmm_v2_robust
40,44.34,fedpekd_protogmm_v2_robust
41,43.65,fedpekd_protogmm_v2_robust
42,42.31,fedpekd_protogmm_v2_robust
43,42.94,fedpekd_protogmm_v2_robust
44,43.24,fedpekd_protogmm_v2_robust
45,42.03,fedpekd_protogmm_v2_robust
46,42.48,fedpekd_protogmm_v2_robust
47,42.18,fedpekd_protogmm_v2_robust
48,42.3,fedpekd_protogmm_v2_robust
49,32.72,fedpekd_protogmm_v2_robust
50,34.64,fedpekd_protogmm_v2_robust
