round,accuracy,method
0,9.43,fedpekd_protogmm_v3_alpha5
1,38.43,fedpekd_protogmm_v3_alpha5
2,65.4,fedpekd_protogmm_v3_alpha5
3,66.43,fedpekd_protogmm_v3_alpha5
4,69.3,fedpekd_protogmm_v3_alpha5
5,69.6,fedpekd_protogmm_v3_alpha5
6,70.0,fedpekd_protogmm_v3_alpha5
7,68.25,fedpekd_protogmm_v3_alpha5
8,69.88,fedpekd_protogmm_v3_alpha5
9,70.16,fedpekd_protogmm_v3_alpha5
10,69.34,fedpekd_protogmm_v3_alpha5
11,69.19,fedpekd_protogmm_v3_alpha5
12,69.67,fedpekd_protogmm_v3_alpha5
13,68.4,fedpekd_protogmm_v3_alpha5
14,69.4,fedpekd_protogmm_v3_alpha5
15,69.2,fedpekd_protogmm_v3_alpha5
16,67.94,fedpekd_protogmm_v3_alpha5
17,69.21,fedpekd_protogmm_v3_alpha5
18,68.03,fedpekd_protogmm_v3_alpha5
19,68.36,fedpekd_protogmm_v3_alpha5
20,67.5,fedpekd_protogmm_v3_alpha5
21,66.25,fedpekd_protogmm_v3_alpha5
22,67.51,fedpekd_protogmm_v3_alpha5
23,66.64,fedpekd_protogmm_v3_alpha5
24,65.1,fedpekd_protogmm_v3_alpha5
25,64.13,fedpekd_protogmm_v3_alpha5
26,63.87,fedpekd_protogmm_v3_alpha5
27,62.65,fedpekd_protogmm_v3_alpha5
28,62.7,fedpekd_protogmm_v3_alpha5
29,61.53,fedpekd_protogmm_v3_alpha5
30,62.39,fedpekd_protogmm_v3_alpha5
31,63.67,fedpekd_protogmm_v3_alpha5
32,64.38,fedpekd_protogmm_v3_alpha5
33,64.81,fedpekd_protogmm_v3_alpha5
34,64.2,fedpekd_protogmm_v3_alpha5
35,64.14,fedpekd_protogmm_v3_alpha5
36,63.41,fedpekd_protogmm_v3_alpha5
37,63.6,fedpekd_protogmm_v3_alpha5
38,63.14,fedpekd_protogmm_v3_alpha5
39,62.27,fedpekd_protogmm_v3_alpha5
40,61.72,fedpekd_protogmm_v3_alpha5
41,61.14,fedpekd_protogmm_v3_alpha5
42,60.73,fedpekd_protogmm_v3_alpha5
43,61.73,fedpekd_protogmm_v3_alpha5
44,61.18,fedpekd_protogmm_v3_alpha5
45,57.76,fedpekd_protogmm_v3_alpha5
46,58.6,fedpekd_protogmm_v3_alpha5
47,59.8,fedpekd_protogmm_v3_alpha5
48,58.64,fedpekd_protogmm_v3_alpha5
49,59.77,fedpekd_protogmm_v3_alpha5
50,59.06,fedpekd_protogmm_v3_alpha5
