round,accuracy,method
0,9.43,fedpekd_protogmm_v3_final
1,47.4,fedpekd_protogmm_v3_final
2,64.62,fedpekd_protogmm_v3_final
3,66.97,fedpekd_protogmm_v3_final
4,68.04,fedpekd_protogmm_v3_final
5,70.11,fedpekd_protogmm_v3_final
6,69.79,fedpekd_protogmm_v3_final
7,68.33,fedpekd_protogmm_v3_final
8,69.4,fedpekd_protogmm_v3_final
9,69.02,fedpekd_protogmm_v3_final
10,69.7,fedpekd_protogmm_v3_final
11,68.29,fedpekd_protogmm_v3_final
12,69.12,fedpekd_protogmm_v3_final
13,69.38,fedpekd_protogmm_v3_final
14,68.85,fedpekd_protogmm_v3_final
15,69.24,fedpekd_protogmm_v3_final
16,69.58,fedpekd_protogmm_v3_final
17,67.78,fedpekd_protogmm_v3_final
18,68.12,fedpekd_protogmm_v3_final
19,67.65,fedpekd_protogmm_v3_final
20,65.19,fedpekd_protogmm_v3_final
21,65.88,fedpekd_protogmm_v3_final
22,66.78,fedpekd_protogmm_v3_final
23,64.81,fedpekd_protogmm_v3_final
24,64.46,fedpekd_protogmm_v3_final
25,64.44,fedpekd_protogmm_v3_final
26,63.13,fedpekd_protogmm_v3_final
27,64.8,fedpekd_protogmm_v3_final
28,62.9,fedpekd_protogmm_v3_final
29,62.68,fedpekd_protogmm_v3_final
30,61.54,fedpekd_protogmm_v3_final
31,63.14,fedpekd_protogmm_v3_final
32,62.47,fedpekd_protogmm_v3_final
33,62.16,fedpekd_protogmm_v3_final
34,62.72,fedpekd_protogmm_v3_final
35,63.26,fedpekd_protogmm_v3_final
36,62.98,fedpekd_protogmm_v3_final
37,61.47,fedpekd_protogmm_v3_final
38,59.88,fedpekd_protogmm_v3_final
39,62.11,fedpekd_protogmm_v3_final
40,61.89,fedpekd_protogmm_v3_final
41,62.08,fedpekd_protogmm_v3_final
42,60.75,fedpekd_protogmm_v3_final
43,57.2,fedpekd_protogmm_v3_final
44,61.26,fedpekd_protogmm_v3_final
45,59.83,fedpekd_protogmm_v3_final
46,58.64,fedpekd_protogmm_v3_final
47,55.31,fedpekd_protogmm_v3_final
48,58.67,fedpekd_protogmm_v3_final
49,56.09,fedpekd_protogmm_v3_final
50,55.53,fedpekd_protogmm_v3_final
