round,accuracy,method
0,9.43,fedpekd_prototypes_v1
1,21.99,fedpekd_prototypes_v1
2,33.12,fedpekd_prototypes_v1
3,43.46,fedpekd_prototypes_v1
4,47.87,fedpekd_prototypes_v1
5,50.7,fedpekd_prototypes_v1
6,49.35,fedpekd_prototypes_v1
7,51.78,fedpekd_prototypes_v1
8,51.85,fedpekd_prototypes_v1
9,50.95,fedpekd_prototypes_v1
10,54.1,fedpekd_prototypes_v1
11,52.98,fedpekd_prototypes_v1
12,52.52,fedpekd_prototypes_v1
13,53.81,fedpekd_prototypes_v1
14,53.74,fedpekd_prototypes_v1
15,51.97,fedpekd_prototypes_v1
16,51.85,fedpekd_prototypes_v1
17,52.08,fedpekd_prototypes_v1
18,51.27,fedpekd_prototypes_v1
19,51.42,fedpekd_prototypes_v1
20,51.74,fedpekd_prototypes_v1
21,51.82,fedpekd_prototypes_v1
22,51.03,fedpekd_prototypes_v1
23,51.25,fedpekd_prototypes_v1
24,52.17,fedpekd_prototypes_v1
25,53.0,fedpekd_prototypes_v1
26,10.07,fedpekd_prototypes_v1
27,10.26,fedpekd_prototypes_v1
28,10.16,fedpekd_prototypes_v1
29,10.16,fedpekd_prototypes_v1
30,9.98,fedpekd_prototypes_v1
31,10.0,fedpekd_prototypes_v1
32,10.02,fedpekd_prototypes_v1
33,10.07,fedpekd_prototypes_v1
34,18.1,fedpekd_prototypes_v1
35,20.15,fedpekd_prototypes_v1
36,20.71,fedpekd_prototypes_v1
37,20.49,fedpekd_prototypes_v1
38,19.62,fedpekd_prototypes_v1
39,17.32,fedpekd_prototypes_v1
40,12.69,fedpekd_prototypes_v1
41,11.98,fedpekd_prototypes_v1
42,11.18,fedpekd_prototypes_v1
43,11.18,fedpekd_prototypes_v1
44,10.52,fedpekd_prototypes_v1
45,10.4,fedpekd_prototypes_v1
46,9.96,fedpekd_prototypes_v1
47,10.02,fedpekd_prototypes_v1
48,10.02,fedpekd_prototypes_v1
49,10.0,fedpekd_prototypes_v1
50,10.01,fedpekd_prototypes_v1
