round,accuracy,method
0,9.43,fedpekd_tuned
1,29.52,fedpekd_tuned
2,38.09,fedpekd_tuned
3,41.44,fedpekd_tuned
4,44.35,fedpekd_tuned
5,45.36,fedpekd_tuned
6,46.65,fedpekd_tuned
7,48.11,fedpekd_tuned
8,49.31,fedpekd_tuned
9,50.12,fedpekd_tuned
10,50.14,fedpekd_tuned
11,51.6,fedpekd_tuned
12,51.33,fedpekd_tuned
13,51.7,fedpekd_tuned
14,52.03,fedpekd_tuned
15,54.49,fedpekd_tuned
16,53.98,fedpekd_tuned
17,54.42,fedpekd_tuned
18,56.45,fedpekd_tuned
19,56.67,fedpekd_tuned
20,56.7,fedpekd_tuned
21,54.81,fedpekd_tuned
22,56.48,fedpekd_tuned
23,56.72,fedpekd_tuned
24,55.92,fedpekd_tuned
25,57.69,fedpekd_tuned
26,57.07,fedpekd_tuned
27,58.03,fedpekd_tuned
28,59.84,fedpekd_tuned
29,58.57,fedpekd_tuned
30,57.78,fedpekd_tuned
31,57.67,fedpekd_tuned
32,58.54,fedpekd_tuned
33,59.03,fedpekd_tuned
34,58.45,fedpekd_tuned
35,57.66,fedpekd_tuned
36,58.19,fedpekd_tuned
37,58.0,fedpekd_tuned
38,58.34,fedpekd_tuned
39,58.66,fedpekd_tuned
40,57.91,fedpekd_tuned
41,59.62,fedpekd_tuned
42,61.17,fedpekd_tuned
43,59.98,fedpekd_tuned
44,59.08,fedpekd_tuned
45,59.69,fedpekd_tuned
46,59.46,fedpekd_tuned
47,59.83,fedpekd_tuned
48,60.48,fedpekd_tuned
49,59.01,fedpekd_tuned
50,58.0,fedpekd_tuned
